Detail of Gifts,Item Category,Name of Recipient,Affiliation,Date,Assessed Value,Retention Cost,Retained,Remarks
Jewellery box,Jewellery/Accessories,L/ NK Daud Rehman,Military,2002-04-09,400.0,0.0,Yes,Yes
Jewellery box,Jewellery/Accessories,L/NK Muhammad Asghar,Military,2002-04-09,400.0,0.0,Yes,Yes
One shawl,Clothes,"Ms.  Saadia  Altaf  Qazi,  Protocol
Officer  (V-I)  Ministry  of  Foreign
Affairs",Bureaucracy,2002-04-10,0.0,0.0,Yes,Yes
One  painting  of,Decoration Pieces,"Mr.  Ahmad  Waqar,  Secretary,
Privatization,  Privatization
Commission",Bureaucracy,2002-04-10,650.0,0.0,Yes,Yes
One  digital,Tech,"Director  General  (B&U),  Ministry  of
Privatization,  Privatization
Commission ",Bureaucracy,2002-04-10,1000.0,0.0,Yes,Yes
One  Blue  Onyx,Decoration Pieces,"Minister  for  Information  &  Media
Development",Gen. Musharraf,2002-04-10,500.0,0.0,Retained.,Retained.
One  Woolen,Clothes,"Minister  for  Information  &  Media
Development",Gen. Musharraf,2002-04-10,0.0,0.0,Retained.,Retained.
One  handmade,Carpet,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-04-11,18000.0,1200.0,Yes,Yes
Handmade,Clothes,"Mr.  M.  Yaqoob  Malik,  Chief
Coordinating Officer, SAARC, Human
Resources Development Centre",Bureaucracy,2002-04-12,0.0,0.0,Auctioned,"Auctioned
for
Rs.1,150/-"
One crystal glass,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,2002-04-15,1500.0,0.0,Yes,Yes
Tea set ,Crockery,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,2002-04-15,650.0,0.0,Yes,Yes
One time piece,Decoration Pieces,"Minister  for  Petroleum  &  Natural
Resources",Gen. Musharraf,2002-04-15,2200.0,0.0,Yes,Yes
One  Ball  Pen,Pen,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Bureaucracy,2002-04-18,1200.0,0.0,Yes,Yes
One Bras Plate,Decoration Pieces,"Mr.  Nawid  Ahsan,  Secretary,
Economic Affairs Division",Bureaucracy,2002-04-18,0.0,0.0,Yes,Yes
One  decoration,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,2002-04-19,0.0,0.0,Yes,Yes
One crystal bowl,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,2002-04-19,2800.0,0.0,Yes,Yes
One  Jewellary,Jewellery/Accessories,"Minister  for  Commerce,  Industries
and Production",Gen. Musharraf,2002-04-20,400.0,0.0,Yes,Yes
One cutlery set,Crockery,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-04-23,8000.0,0.0,Yes,Yes
One  Short  Gun,Weapons,Minister for Commerce,Gen. Musharraf,2002-04-30,6800.0,0.0,Auctioned,"Auctioned
for
Rs.14,000/-"
Two ball pens,Pen,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,2002-05-03,1600.0,0.0,Yes,Yes
One  decoration,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,2002-05-03,1100.0,0.0,Yes,Yes
Two  large,Decoration Pieces,"Mr.  Shaukat  Aziz, Minister  for
Finance",Gen. Musharraf,2002-05-06,3500.0,0.0,Yes,Yes
Wooden,Decoration Pieces,"Secretary  Planning  &  Development
Division",Bureaucracy,2002-05-06,0.0,0.0,Auctioned,"Auctioned
for
Rs.1,210/-"
Crystal,Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,2002-05-13,1300.0,0.0,Yes,Yes
One  Video,Tech,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,2002-05-16,0.0,0.0,Yes,Yes
Bank Souvenir,Not Specified,"Mr.  Nawid  Ahsan,  Secretary,
Economic Affairs Division",Gen. Musharraf,2002-05-17,0.0,0.0,Yes,Yes
One  DVD  Set,Tech,"Mr.  Inam-ul-Haque,  Foreign
Secretary, M/o Foreign Affairs",Gen. Musharraf,2002-05-18,11300.0,195.0,Yes,Yes
One  decoration,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,2002-05-29,2300.0,0.0,Yes,Yes
a,Watch,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Gen. Musharraf,2002-05-31,10500.0,75.0,Yes,Yes
One  coffee,Tech,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Gen. Musharraf,2002-05-31,11500.0,225.0,Yes,Yes
One  mantle,Decoration Pieces,"Minister  for  Petroleum  &  Natural
Resources",Gen. Musharraf,2002-06-01,1600.0,0.0,Yes,Yes
One carpet,Carpet,"Minister  for  Petroleum  &  Natural
Resources",Gen. Musharraf,2002-06-04,7000.0,0.0,Yes,Yes
One carpet,Carpet,"Minister  for  Petroleum  &  Natural
Resources",Gen. Musharraf,2002-06-04,7000.0,0.0,Yes,Yes
One decoration,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,2002-06-06,3200.0,0.0,Yes,Yes
One Carpet,Carpet,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,2002-06-06,7000.0,0.0,Yes,Yes
One carpet,Carpet,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,2002-06-06,10000.0,0.0,Yes,Yes
One  table  set,Watch,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,2002-06-06,3500.0,0.0,Auctioned,"Auctioned
for
Rs.2,000/-"
Desk  Set  ,Watch,"Mr.  Khalid  Siraj,  Senior,  Adviser  to
Finance Minister",Gen. Musharraf,2002-06-07,3500.0,0.0,Auctioned,"Auctioned
for
Rs.1,505/-"
a,Watch,"Dr.  Waqar  Masood  Khan,  Additional
Finance Secretary (EF/Policy)",Bureaucracy,2002-06-10,3000.0,0.0,Yes,Yes
One flower vase,Decoration Pieces,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-06-10,13000.0,450.0,Yes,Yes
One Holy Quran,Decoration Pieces,"General Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-06-10,0.0,0.0,Yes,Yes
One  golden,Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Bureaucracy,2002-06-13,3200.0,0.0,Yes,Yes
a,Watch,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Bureaucracy,2002-06-13,170000.0,24000.0,Yes,Yes
a,Decoration Pieces,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-06-14,2850.0,0.0,Yes,Yes
One  jewellery,Jewellery/Accessories,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-06-14,4300.0,0.0,Yes,Yes
One  revolver,Weapons,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-06-14,72000.0,9300.0,Yes,Yes
One  Wrist  watch,Watch,"Mr. M.  Mumtaz  Malik,  Deputy
Secretary (EFB)",Bureaucracy,2002-06-15,1500.0,0.0,Yes,Yes
One  Wrist  watch,Watch,"Mr.  Muhammad  Jameel,  Section
Officer",Bureaucracy,2002-06-15,1500.0,0.0,Yes,Yes
Model  of  Golden,Watch,Minister  for  Kashmir  Affairs  and,Gen. Musharraf,2002-06-17,5500.0,0.0,Yes,Yes
Golden Coin,Jewellery/Accessories,"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs
since long)",Gen. Musharraf,2002-06-20,9170.0,0.0,Auctioned,"Auctioned
for
Rs.18,312/-"
Coin ,Jewellery/Accessories,"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs
since long)",Gen. Musharraf,2002-06-20,600.0,0.0,Auctioned,"Auctioned
for
Rs.1,311/-"
FAO Souvenir,Jewellery/Accessories,"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs
since long)",Gen. Musharraf,2002-06-20,310.0,0.0,Auctioned,"Auctioned
for
Rs.333/-"
Proof Coin Set,Jewellery/Accessories,"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs
since long)",Gen. Musharraf,2002-06-20,500.0,0.0,Auctioned,"Auctioned
for
Rs.1,701/-"
Parker Pen Set,Pen,"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs
since long)",Gen. Musharraf,2002-06-20,3000.0,0.0,Auctioned,"Auctioned
for
Rs.4,210/-"
Dewaruci,Decoration Pieces,"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs
since long)",Gen. Musharraf,2002-06-20,1400.0,0.0,"Displayed
at
Presidency","Displayed
at
Presidency"
Plaque,Decoration Pieces,"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs
since long)",Gen. Musharraf,2002-06-20,1200.0,0.0,Auctioned,"Auctioned
for
Rs.1,820/-"
Box,Not Specified,"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs
since long)",Gen. Musharraf,2002-06-20,450.0,0.0,Auctioned,"Auctioned
for
Rs.820/-"
Plaque,Decoration Pieces,"Unknown  (gifts  were  lying  in  the
office  of  Minister  for  Foreign  Affairs
since long)",Gen. Musharraf,2002-06-20,1500.0,0.0,Auctioned,"Auctioned
for
Rs.411/-"
Wrist  Watch,Watch,"Mr.  S.  Anwar  Mahmood,  Secy,
Information  and  Media
Development.",Bureaucracy,2002-06-21,0.0,9750.0,Yes,Yes
One  model  of,Decoration Pieces,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-07-03,60000.0,7500.0,Yes,Yes
a,Cigar/Cigarettes,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-07-03,4500.0,0.0,Yes,Yes
One  bowl,Decoration Pieces,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-07-03,5500.0,0.0,Yes,Yes
One  decoration,Decoration Pieces,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-07-03,12000.0,300.0,Yes,Yes
Two  empty,Jewellery/Accessories,"Chief of Protocol and Deputy Chief
Protocol Ministry of Foreign Affairs",Military,2002-07-04,0.0,0.0,Yes,Yes
a,Not Specified,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-07-05,25125.0,2269.0,Yes,Yes
One  hand  bag,Pen,"General  Nadeem  Taj,  Military
Secretary to Chief Executive",Military,2002-07-05,2200.0,0.0,Yes,Yes
One hand bag,Bags,"Lt.  Col.  Muhammad  Arshad,  Chief
Security  Officer  to  the  Chief
Executive",Military,2002-07-05,300.0,0.0,Yes,Yes
One hand bag,Bags,"Major Syed Tanveer Ali ADC to Chief
Executive",Military,2002-07-05,300.0,0.0,Yes,Yes
Wrist  Watch,Watch,"Mr.  Javed  A.  Qureshi,  Joint
Secretary  (B),  Chief  Executive
Secretariat",Bureaucracy,2002-07-07,75000.0,9750.0,Yes,Yes
One  Lacqure  Art,Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,2002-07-15,1000.0,0.0,Yes,Yes
One  tea  set  ,Crockery,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-07-22,3000.0,0.0,Yes,Yes
One wooden box,Decoration Pieces,"Minister  for  Petroleum  &  Natural
Resources",Gen. Musharraf,2002-07-22,1000.0,0.0,Auctioned,"Auctioned
for
Rs.1,015/-"
Wrist  Watch,Watch,"Brig. (Retd) Mian Khalid Habib, Chief
of Protocol, Foreign Affairs",Military,2002-07-23,75000.0,9750.0,Yes,Yes
One  Tea  set  ,Crockery,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,2002-07-25,3000.0,0.0,Yes,Yes
a,Phone,"Dr. Atta-ur-Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2002-07-25,29000.0,3300.0,Yes,Yes
a,Not Specified,"Mr.  Akhtar  Said  Minister  for
Education,  Government  of  the
Punjab",Gen. Musharraf,2002-07-25,2200.0,0.0,"Displayed
at Cabinet
Division’s
Library","Displayed
at Cabinet
Division’s
Library"
One  Souvenir,Jewellery/Accessories,"Dr.  Atta-ur-Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2002-07-26,800.0,0.0,Auctioned,"Auctioned
for
Rs.1,659/-"
Candy  Box,Not Specified,"Mr.  Khair  Mohamed  Janejo,  Minister
Food, Agriculture and Live Stock",Gen. Musharraf,2002-07-27,0.0,0.0,Yes,Yes
Decoration plate,Decoration Pieces,"Mr.  Khair  Mohamed  Janejo,  Minister
Food, Agriculture and Live Stock",Gen. Musharraf,2002-07-27,0.0,0.0,Yes,Yes
One  printed,Jewellery/Accessories,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,2002-08-06,2000.0,0.0,Yes,Yes
Three books,Not Specified,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-08-08,2400.0,0.0,Yes,Yes
One painting,Decoration Pieces,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-08-08,3000.0,0.0,Yes,Yes
One  decoration,Decoration Pieces,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-08-10,1800.0,0.0,Yes,Yes
One box of tea,Food,"General  Parvez Musharraf, President
/ Chief Executive of Pakistan",Military,2002-08-10,400.0,0.0,Yes,Yes
a,Jewellery/Accessories,"Begum  General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-08-10,7000.0,0.0,Yes,Yes
One saree,Clothes,"Begum  General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-08-10,1500.0,0.0,Yes,Yes
One  piece  of,Clothes,"Begum  General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-08-10,1000.0,0.0,Yes,Yes
One saree,Clothes,"Begum  General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-08-10,1500.0,0.0,Yes,Yes
One  piece  of,Clothes,"Major  General  Nadeem  Taj,  Military
Secretary to Chief Executive",Military,2002-08-10,1000.0,0.0,Yes,Yes
One Saree,Clothes,Mrs. Nadeem Taj,Military,2002-08-10,1000.0,0.0,Yes,Yes
One Shirt,Clothes,"Lt.  Col.  Mirza  Kamran  Zia,  Deputy
Military Secretary to Chief Executive",Military,2002-08-10,350.0,0.0,Yes,Yes
One Shirt,Clothes,"Col.  Muhammad  Ilyas,  Chief
Security  Officer  to  the  Chief
Executive",Military,2002-08-10,350.0,0.0,Yes,Yes
One shirt,Clothes,"Brig.  Tasawar  Hussain,  Personal
physician to CE",Military,2002-08-10,350.0,0.0,Yes,Yes
